company_name,aliases,fortune_500,visa_friendly,sponsors_h1b,hires_entry_level,hires_software_engineers,hires_ai_ml,industry,careers_url,notes
Abbott Laboratories,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Qualcomm,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Northwestern Mutual,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
U.S. Bancorp,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Dollar General,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Northrop Grumman,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Best Buy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Bank of New York (BNY),,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Honeywell International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Philip Morris International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
CBRE Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Visa,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Dow,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
US Foods Holding,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Mondelez International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lithia Motors,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
GE Vernova,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Micron Technology,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Warner Bros. Discovery,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Starbucks,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
World Kinect,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Amgen,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
CHS,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Advanced Micro Devices,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Coupang,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Hewlett Packard Enterprise,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
D.R. Horton,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lennar,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
PNC Financial Services Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cummins,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Oneok,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
PayPal Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
GuideWell Mutual Holding,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Mastercard,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Nucor,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Apollo Global Management,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Penske Automotive Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Duke Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
United Natural Foods,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Ferguson Enterprises,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Arrow Electronics,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
NRG Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Truist Financial,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Jabil,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Southern,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Gilead Sciences,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
PBF Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Paramount Skydance,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
KKR,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Quanta Services,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Paccar,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Medline,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Applied Materials,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Hartford Insurance Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
CarMax,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Southwest Airlines,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Baker Hughes,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Charles Schwab,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
AutoNation,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
NextEra Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Marsh & McLennan,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Booking Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
McDonald's,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
HF Sinclair,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
AIG,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Occidental Petroleum,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Marriott International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Jones Lang LaSalle,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
International Paper,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Freeport-McMoRan,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Constellation Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Waste Management,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Live Nation Entertainment,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Stryker,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Dollar Tree,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
3M,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Kraft Heinz,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
PG&E,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Danaher,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Union Pacific,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Genuine Parts,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Exelon,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
BlackRock,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Block,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Reinsurance Group of America,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Sherwin-Williams,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
WESCO International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lear,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Synchrony Financial,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Amphenol,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Ross Stores,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Newmont,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
EOG Resources,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
State Street,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Macy's,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Group 1 Automotive,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
CDW,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Avnet,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Halliburton,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Super Micro Computer,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
American Electric Power,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
L3Harris Technologies,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Becton Dickinson,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Carrier Global,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
BJ's Wholesale Club,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Tenet Healthcare,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Fiserv,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cognizant Technology Solutions,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
GE HealthCare Technologies,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Automatic Data Processing,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Colgate-Palmolive,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Carvana,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Altria Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Boston Scientific,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cheniere Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Parker-Hannifin,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Kimberly-Clark,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
American Family Insurance Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
General Mills,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Edison International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
AutoZone,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Ameriprise Financial,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Intuit,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Guardian Life Ins. Co. of America,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cleveland-Cliffs,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Global Partners,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Aramark,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Corebridge Financial,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Loews,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lam Research,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Goodyear Tire & Rubber,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Pacific Life,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Auto-Owners Insurance,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Peter Kiewit Sons',,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lincoln National,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Steel Dynamics,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Emerson Electric,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Asbury Automotive Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
ManpowerGroup,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
W.W. Grainger,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Jones Financial (Edward Jones),,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
O'Reilly Automotive,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Vistra,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Texas Instruments,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
MGM Resorts International,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Corteva,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Universal Health Services,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
PulteGroup,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Omnicom Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Dick's Sporting Goods,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Devon Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Leidos Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Aflac,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Targa Resources,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Murphy USA,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
LPL Financial Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
EMCOR Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Kinder Morgan,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Consolidated Edison,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Keurig Dr Pepper,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Republic Services,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Markel Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Farmers Insurance Exchange,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Dominion Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Land O'Lakes,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
IQVIA Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Fox,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
